ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Transcriptions,AlternativeValues
kara1499-5-900-1,,kara1499,5-900,minum,minum,,Malay or other Austronesian loan,visser2021,,true,,,Phonemic,
kara1499-5-900-2,,kara1499,5-900,minuman,minuman,,Malay or other Austronesian loan,visser2021,,true,,,Phonemic,
kara1499-5-930-1,,kara1499,5-930,bir,bir,,Malay or other Austronesian loan,visser2021,,true,,,Phonemic,
kara1499-5-970-1,,kara1499,5-970,nar,nar,,,visser2021,,false,,,Phonemic,
kara1499-6-110-1,,kara1499,6-110,sabur,sabur,,,visser2021,,false,,,Phonemic,
kara1499-6-110-2,,kara1499,6-110,komasabur,komasabur,,,visser2021,,false,,,Phonemic,
kara1499-6-120-1,,kara1499,6-120,pakaian,pakaian,,Malay or other Austronesian loan,visser2021,,true,,,Phonemic,
kara1499-6-210-1,,kara1499,6-210,tapal,tapal,,,visser2021,,false,,,Phonemic,
kara1499-6-210-2,,kara1499,6-210,donselet,donselet,,,visser2021,,false,,,Phonemic,
kara1499-6-240-1,,kara1499,6-240,kapas,kapas,,Malay or other Austronesian loan,visser2021,,true,,,Phonemic,
kara1499-6-240-2,,kara1499,6-240,kai kawas,kai kawas,,Malay or other Austronesian loan,visser2021,,true,,,Phonemic,
kara1499-6-360-1,,kara1499,6-360,sin,sin,,,visser2021,,false,,,Phonemic,
kara1499-6-380-1,,kara1499,6-380,kawas,kawas,,,visser2021,,false,,,Phonemic,
kara1499-6-420-1,,kara1499,6-420,kabai,kabai,,,visser2021,,false,,,Phonemic,
kara1499-6-440-1,,kara1499,6-440,ladan,ladan,,,visser2021,,false,,,Phonemic,
kara1499-6-510-1,,kara1499,6-510,sepatu,sepatu,,,visser2021,,false,,,Phonemic,
kara1499-6-550-1,,kara1499,6-550,sepe,sepe,,,visser2021,,false,,,Phonemic,
kara1499-6-550-2,,kara1499,6-550,saraun,saraun,,,visser2021,,false,,,Phonemic,
kara1499-6-550-3,,kara1499,6-550,kawier,kawier,,,visser2021,,false,,,Phonemic,
kara1499-6-630-1,,kara1499,6-630,sopsop,sopsop,,,visser2021,,false,,,Phonemic,
kara1499-6-730-1,,kara1499,6-730,tanggarara,tanggarara,,,visser2021,,false,,,Phonemic,
kara1499-6-740-1,,kara1499,6-740,liti,liti,,,visser2021,,false,,,Phonemic,
kara1499-6-750-1,,kara1499,6-750,kalung,kalung,,,visser2021,,false,,,Phonemic,
kara1499-6-760-1,,kara1499,6-760,samor,samor,,,visser2021,,false,,,Phonemic,
kara1499-6-770-1,,kara1499,6-770,gigiwang,gigiwang,,,visser2021,,false,,,Phonemic,
kara1499-6-810-1,,kara1499,6-810,yuon,yuon,,,visser2021,,false,,,Phonemic,
kara1499-6-820-1,,kara1499,6-820,handuk,handuk,,Malay or other Austronesian loan,visser2021,,true,,,Phonemic,
kara1499-6-910-1,,kara1499,6-910,sisir,sisir,,comb,visser2021,,false,,,Phonemic,
kara1499-6-910-2,,kara1499,6-910,suor,suor,,bamboo comb,visser2021,,false,,,Phonemic,
kara1499-6-921-1,,kara1499,6-921,pakpak,pakpak,,,visser2021,,false,,,Phonemic,
kara1499-6-950-1,,kara1499,6-950,sabur,sabur,,,visser2021,,false,,,Phonemic,
kara1499-7-110-1,,kara1499,7-110,tua,tua,,,visser2021,,false,,,Phonemic,
kara1499-7-110-2,,kara1499,7-110,gocie,gocie,,,visser2021,,false,,,Phonemic,
kara1499-7-120-1,,kara1499,7-120,kewe,kewe,,,visser2021,,false,,,Phonemic,
kara1499-7-140-1,,kara1499,7-140,sabua,sabua,,Malay or other Austronesian loan,visser2021,,true,,,Phonemic,
kara1499-7-210-1,,kara1499,7-210,kalot,kalot,,,visser2021,,false,,,Phonemic,
kara1499-7-220-1,,kara1499,7-220,anggas,anggas,,,visser2021,,false,,,Phonemic,
kara1499-7-221-1,,kara1499,7-221,anggas padenun,anggas padenun,,,visser2021,,false,,,Phonemic,
kara1499-7-240-1,,kara1499,7-240,koser,koser,,,visser2021,,false,,,Phonemic,
kara1499-7-250-1,,kara1499,7-250,jendela,jendela,,Malay or other Austronesian loan,visser2021,,true,,,Phonemic,
kara1499-7-260-1,,kara1499,7-260,tingkat,tingkat,,Malay or other Austronesian loan,visser2021,,true,,,Phonemic,
kara1499-7-270-1,,kara1499,7-270,goparar,goparar,,,visser2021,,false,,,Phonemic,
kara1499-7-310-1,,kara1499,7-310,didir,didir,,,visser2021,,false,,,Phonemic,
