chapter,entry,english_meaning,Kalamang,data_2,data_3,data_4,data_5,data_6,comment,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
5,791,"grease, fat",,,,,,,,,,,,,,,,,,,
5,810,salt,sira,,,,,,,,,,,,,,,,,,
5,820,pepper,,,,,,,,,,,,,,,,,,,
5,821,chili pepper,lenggalengga,,,,,,,,,,,,,,,,,,
5,840,honey,wenawena,,,,,,,,,,,,,,,,,,
5,850,sugar,nasuena,,,,,,,,,,,,,,,,,,
5,860,milk (noun),am perun,,,,,,breast milk,,,,,,,,,,,,
5,860,milk (noun),susu,,,,,,Malay or other Austronesian loan,,,,,,,,,,,,
5,870,milk (vb),,,,,,,,,,,,,,,,,,,
5,880,cheese,,,,,,,,,,,,,,,,,,,
5,890,butter,,,,,,,,,,,,,,,,,,,
5,900,"beverage, drink",minum,,,,,,Malay or other Austronesian loan,,,,,,,,,,,,
5,900,"beverage, drink",minuman,,,,,,Malay or other Austronesian loan,,,,,,,,,,,,
5,910,mead,,,,,,,,,,,,,,,,,,,
5,920,wine,,,,,,,,,,,,,,,,,,,
5,930,beer,bir,,,,,,Malay or other Austronesian loan,,,,,,,,,,,,
5,940,fermented drink,,,,,,,,,,,,,,,,,,,
5,970,egg,nar,,,,,,,,,,,,,,,,,,
5,971,egg yolk,,,,,,,,,,,,,,,,,,,
6,110,put on (clothes),sabur,,,,,,,,,,,,,,,,,,
6,110,put on (clothes),komasabur,,,,,,,,,,,,,,,,,,
6,120,"clothing, clothes",pakaian,,,,,,Malay or other Austronesian loan,,,,,,,,,,,,
6,130,tailor,,,,,,,Malay or other Austronesian loan,,,,,,,,,,,,
6,210,cloth,tapal,,,,,,,,,,,,,,,,,,
6,210,cloth,donselet,,,,,,,,,,,,,,,,,,
6,220,wool,,,,,,,,,,,,,,,,,,,
6,230,"linen, flax",,,,,,,,,,,,,,,,,,,
6,240,cotton,kapas,,,,,,Malay or other Austronesian loan,,,,,,,,,,,,
6,240,cotton,kai kawas,,,,,,Malay or other Austronesian loan,,,,,,,,,,,,
6,250,silk,,,,,,,,,,,,,,,,,,,
6,270,felt,,,,,,,,,,,,,,,,,,,
6,280,fur,,,,,,,,,,,,,,,,,,,
6,290,leather,,,,,,,,,,,,,,,,,,,
6,310,spin,,,,,,,,,,,,,,,,,,,
6,320,spindle,,,,,,,,,,,,,,,,,,,
6,330,weave,,,,,,,,,,,,,,,,,,,
6,340,loom,,,,,,,,,,,,,,,,,,,
6,350,sew,,,,,,,,,,,,,,,,,,,
6,360,needle,sin,,,,,,,,,,,,,,,,,,
6,370,awl,,,,,,,,,,,,,,,,,,,
6,380,thread,kawas,,,,,,,,,,,,,,,,,,
6,390,dye,,,,,,,,,,,,,,,,,,,
6,410,cloak,,,,,,,,,,,,,,,,,,,
6,411,poncho,,,,,,,,,,,,,,,,,,,
6,420,woman's dress,kabai,,,,,,,,,,,,,,,,,,
6,430,coat,,,,,,,,,,,,,,,,,,,
6,440,shirt,ladan,,,,,,,,,,,,,,,,,,
6,450,collar,,,,,,,,,,,,,,,,,,,
6,460,skirt,,,,,,,,,,,,,,,,,,,
6,461,grass-skirt,,,,,,,,,,,,,,,,,,,
6,480,trousers,,,,,,,,,,,,,,,,,,,
6,490,"stocking, sock",,,,,,,,,,,,,,,,,,,
6,510,shoe,sepatu,,,,,,,,,,,,,,,,,,
6,520,boot,,,,,,,,,,,,,,,,,,,
6,540,"shoemaker, cobbler",,,,,,,,,,,,,,,,,,,
6,550,"hat, cap",sepe,,,,,,,,,,,,,,,,,,
6,550,"hat, cap",saraun,,,,,,,,,,,,,,,,,,
6,550,"hat, cap",kawier,,,,,,,,,,,,,,,,,,
6,570,"belt, girdle",,,,,,,,,,,,,,,,,,,
6,580,glove,,,,,,,,,,,,,,,,,,,
6,590,veil,,,,,,,,,,,,,,,,,,,
6,610,pocket,,,,,,,,,,,,,,,,,,,
6,620,button,,,,,,,,,,,,,,,,,,,
6,630,pin,sopsop,,,,,,,,,,,,,,,,,,
6,710,"ornament, adornment",,,,,,,,,,,,,,,,,,,
6,720,jewel,,,,,,,,,,,,,,,,,,,
6,730,ring (for finger),tanggarara,,,,,,,,,,,,,,,,,,
6,740,bracelet,liti,,,,,,,,,,,,,,,,,,
6,750,necklace,kalung,,,,,,,,,,,,,,,,,,
6,760,bead,samor,,,,,,,,,,,,,,,,,,
6,770,earring,gigiwang,,,,,,,,,,,,,,,,,,
6,780,"headband, headdress",,,,,,,,,,,,,,,,,,,
6,790,tattoo,,,,,,,,,,,,,,,,,,,
6,810,"handkerchief, rag",yuon,,,,,,,,,,,,,,,,,,
6,820,towel,handuk,,,,,,Malay or other Austronesian loan,,,,,,,,,,,,
6,910,comb,sisir,,,,,,comb,,,,,,,,,,,,
6,910,comb,suor,,,,,,bamboo comb,,,,,,,,,,,,
6,920,brush,,,,,,,,,,,,,,,,,,,
6,921,braid,pakpak,,,,,,,,,,,,,,,,,,
6,930,razor,,,,,,,,,,,,,,,,,,,
6,940,ointment,,,,,,,,,,,,,,,,,,,
6,950,soap,sabur,,,,,,,,,,,,,,,,,,
6,960,mirror,,,,,,,,,,,,,,,,,,,
7,110,"dwell, live",tua,,,,,,,,,,,,,,,,,,
7,110,"dwell, live",gocie,,,,,,,,,,,,,,,,,,
7,120,house,kewe,,,,,,,,,,,,,,,,,,
7,130,hut,,,,,,,,,,,,,,,,,,,
7,131,garden-house,,,,,,,,,,,,,,,,,,,
7,140,tent,sabua,,,,,,Malay or other Austronesian loan,,,,,,,,,,,,
7,150,"yard, court",,,,,,,,,,,,,,,,,,,
7,160,men's house,,,,,,,,,,,,,,,,,,,
7,170,cookhouse,,,,,,,,,,,,,,,,,,,
7,180,meeting house,,,,,,,,,,,,,,,,,,,
7,210,room,kalot,,,,,,,,,,,,,,,,,,
7,220,"door, gate",anggas,,,,,,,,,,,,,,,,,,
7,221,"doorpost, jamb",anggas padenun,,,,,,,,,,,,,,,,,,
7,230,lock (noun),,,,,,,,,,,,,,,,,,,
7,231,"latch, door-bolt",,,,,,,,,,,,,,,,,,,
7,240,key,koser,,,,,,,,,,,,,,,,,,
7,250,window,jendela,,,,,,Malay or other Austronesian loan,,,,,,,,,,,,
7,260,floor,tingkat,,,,,,Malay or other Austronesian loan,,,,,,,,,,,,
7,270,wall,goparar,,,,,,,,,,,,,,,,,,
7,310,fireplace,didir,,,,,,,,,,,,,,,,,,
7,320,stove,kamfor,,,,,,Malay or other Austronesian loan,,,,,,,,,,,,
7,330,chimney,,,,,,,,,,,,,,,,,,,
7,370,ladder,but,,,,,,,,,,,,,,,,,,
7,420,bed,minggalot,,,,,,,,,,,,,,,,,,
7,421,pillow,kalanggulung,,,,,,,,,,,,,,,,,,
7,422,blanket,,,,,,,,,,,,,,,,,,,
7,430,chair,kadera,,,,,,Malay or other Austronesian loan,,,,,,,,,,,,
7,440,table,meja,,,,,,Malay or other Austronesian loan,,,,,,,,,,,,
7,450,"lamp, torch",lampur,,,,,,Malay or other Austronesian loan,,,,,,,,,,,,
7,460,candle,,,,,,,,,,,,,,,,,,,
7,470,shelf,rak,,,,,,Malay or other Austronesian loan,,,,,,,,,,,,
7,480,trough,,,,,,,,,,,,,,,,,,,
7,510,roof,seng,,,,,,,,,,,,,,,,,,
7,510,roof,sanong,,,,,,,,,,,,,,,,,,
7,520,thatch,sanong,,,,,,,,,,,,,,,,,,
7,520,thatch,seng,,,,,,,,,,,,,,,,,,
7,530,ridgepole,tunggin,,,,,,,,,,,,,,,,,,
7,540,rafter,gunting,,,,,,,,,,,,,,,,,,
7,540,rafter,lepir,,,,,,,,,,,,,,,,,,
7,550,beam,balak,,,,,,,,,,,,,,,,,,
7,550,beam,regil,,,,,,,,,,,,,,,,,,
7,560,"post, pole",paden,,,,,,,,,,,,,,,,,,
7,570,board,pawan,,,,,,,,,,,,,,,,,,
7,580,arch,,,,,,,,,,,,,,,,,,,
7,610,mason,,,,,,,,,,,,,,,,,,,
7,620,brick,bataku,,,,,,,,,,,,,,,,,,
7,630,mortar,,,,,,,,,,,,,,,,,,,
7,640,adobe,,,,,,,,,,,,,,,,,,,
8,110,farmer,,,,,,,,,,,,,,,,,,,
8,120,field (for cultivation),,,,,,,,,,,,,,,,,,,
8,130,garden,amdir,,,,,,,,,,,,,,,,,,
8,150,"cultivate, till",,,,,,,,,,,,,,,,,,,
8,160,fence,tal,,,,,,,,,,,,,,,,,,
8,170,ditch,,,,,,,,,,,,,,,,,,,
8,210,plow,,,,,,,,,,,,,,,,,,,
8,212,furrow,,,,,,,,,,,,,,,,,,,
8,220,dig,ruo,,,,,,,,,,,,,,,,,,
8,230,spade,,,,,,,,,,,,,,,,,,,
8,240,shovel,eskop,,,,,,Malay or other Austronesian loan,,,,,,,,,,,,
8,250,hoe,,,,,,,,,,,,,,,,,,,
8,260,fork,,,,,,,,,,,,,,,,,,,
8,270,rake,,,,,,,,,,,,,,,,,,,
8,310,sow,,,,,,,,,,,,,,,,,,,
8,311,seed,dowi,,,,,,,,,,,,,,,,,,
8,311,seed,tang,,,,,,,,,,,,,,,,,,
8,320,"mow, reap",,,,,,,,,,,,,,,,,,,
8,330,"sickle, scythe",,,,,,,,,,,,,,,,,,,
8,340,thresh,,,,,,,,,,,,,,,,,,,
8,350,threshing-floor,,,,,,,,,,,,,,,,,,,
8,410,"crop, harvest",,,,,,,,,,,,,,,,,,,
8,420,"grain (barley, oats etc)",,,,,,,,,,,,,,,,,,,
8,430,wheat,,,,,,,,,,,,,,,,,,,
8,440,barley,,,,,,,,,,,,,,,,,,,
8,450,rye,,,,,,,,,,,,,,,,,,,
8,460,oats,,,,,,,,,,,,,,,,,,,
8,470,"maize, corn",keteles,,,,,,,,,,,,,,,,,,
8,480,rice,pasa,,,,,,,,,,,,,,,,,,
8,510,grass,kaman,,,,,,,,,,,,,,,,,,
8,510,grass,yuor,,,,,,,,,,,,,,,,,,
8,510,grass,kucai,,,,,,,,,,,,,,,,,,
8,520,hay,,,,,,,,,,,,,,,,,,,
8,530,plant (noun),,,,,,,,,,,,,,,,,,,
8,531,plant (vb),koya,,,,,,,,,,,,,,,,,,
8,540,root,kiel,,,,,,,,,,,,,,,,,,
8,550,branch,karok,,,,,,,,,,,,,,,,,,
8,550,branch,sanggoup,,,,,,,,,,,,,,,,,,
8,560,leaf,ol,,,,,,,,,,,,,,,,,,
8,560,leaf,lolok,,,,,,,,,,,,,,,,,,
8,570,flower,pus,,,,,,,,,,,,,,,,,,
8,570,flower,bunga,,,,,,Malay or other Austronesian loan,,,,,,,,,,,,
8,600,tree,ror,,,,,,,,,,,,,,,,,,
8,610,oak,,,,,,,,,,,,,,,,,,,
8,620,beech,,,,,,,,,,,,,,,,,,,
8,630,birch,,,,,,,,,,,,,,,,,,,
8,640,pine,,,,,,,,,,,,,,,,,,,
8,650,fir,,,,,,,,,,,,,,,,,,,
8,660,acorn,,,,,,,,,,,,,,,,,,,
8,670,vine,,,,,,,,,,,,,,,,,,,
8,680,tobacco,tabai,,,,,,,,,,,,,,,,,,
8,690,smoke (tobacco),kosom,,,,,,,,,,,,,,,,,,
8,691,pipe,,,,,,,,,,,,,,,,,,,
8,720,tree stump,ror tabur,,,,,,,,,,,,,,,,,,
8,730,tree trunk,ewun,,,,,,,,,,,,,,,,,,
8,740,forked branch,,,,,,,,,,,,,,,,,,,
8,750,bark,lokul,,,,,,,,,,,,,,,,,,
8,750,bark,ror kulun,,,,,,,,,,,,,,,,,,
8,760,sap,emun,,,,,,,,,,,,,,,,,,
8,760,sap,pol,,,,,,,,,,,,,,,,,,
8,810,palm tree,wat,,,,,,,,,,,,,,,,,,
8,810,palm tree,buok,,,,,,,,,,,,,,,,,,
8,810,palm tree,kaul,,,,,,,,,,,,,,,,,,
8,820,coconut,wat,,,,,,,,,,,,,,,,,,
8,830,citrus fruit,mun,,,,,,,,,,,,,,,,,,
8,840,banana tree,im,,,,,,,,,,,,,,,,,,
8,850,banyan,,,,,,,,,,,,,,,,,,,
8,910,sweet potato,yap seran,,,,,,,,,,,,,,,,,,
8,912,yam,yap seran,,,,,,,,,,,,,,,,,,
8,920,"tapioca, manioc, cassava",panggala,,,,,,,,,,,,,,,,,,
8,930,gourd,,,,,,,,,,,,,,,,,,,
8,931,"pumpkin, squash",kasabiti,,,,,,,,,,,,,,,,,,
8,940,bamboo,nop,,,,,,,,,,,,,,,,,,
8,940,bamboo,daluang,,,,,,,,,,,,,,,,,,
8,940,bamboo,gaus,,,,,,,,,,,,,,,,,,
8,940,bamboo,kasut,,,,,,,,,,,,,,,,,,
8,940,bamboo,karuan,,,,,,,,,,,,,,,,,,
8,940,bamboo,saban,,,,,,,,,,,,,,,,,,
8,940,bamboo,sasirip,,,,,,,,,,,,,,,,,,
8,940,bamboo,lawan,,,,,,,,,,,,,,,,,,
8,941,sugar cane,kom,,,,,,,,,,,,,,,,,,
8,960,fish poison (root),pak,,,,,,,,,,,,,,,,,,
8,960,fish poison (root),tup,,,,,,,,,,,,,,,,,,
8,970,nettle,sere,,,,,,,,,,,,,,,,,,
8,980,mushroom,kawien,,,,,,,,,,,,,,,,,,
9,110,"do, make",paruo,,,,,,,,,,,,,,,,,,
9,120,work,karajang,,,,,,Malay or other Austronesian loan,,,,,,,,,,,,
9,140,bend,maulma,,,,,,,,,,,,,,,,,,
9,150,fold,kang,,,,,,,,,,,,,,,,,,
9,150,fold,kawetkawet,,,,,,,,,,,,,,,,,,
9,150,fold,tawotma,,,,,,,,,,,,,,,,,,
9,150,fold,kawarma,,,,,,,,,,,,,,,,,,
9,160,"tie, bind",kanie,,,,,,,,,,,,,,,,,,
9,161,untie,,,,,,,,,,,,,,,,,,,
9,180,chain,ranti,,,,,,,,,,,,,,,,,,
9,190,"rope, cord",karek,,,,,,,,,,,,,,,,,,
9,192,knot (noun),,,,,,,,,,,,,,,,,,,
9,210,"strike (hit, beat)",pue,,,,,,,,,,,,,,,,,,
9,211,pound with fist,tu,,,,,,,,,,,,,,,,,,
9,220,cut,potma,,,,,,cut,,,,,,,,,,,,
9,220,cut,korkor,,,,,,cut wood into pieces,,,,,,,,,,,,
9,220,cut,tabak,,,,,,cut into short pieces,,,,,,,,,,,,
9,220,cut,paramua,,,,,,cut,,,,,,,,,,,,
9,220,cut,karok,,,,,,cut off branch,,,,,,,,,,,,
9,220,cut,masalaboung,,,,,,cut off the end of a stem or piece of wood,,,,,,,,,,,,
9,220,cut,suo,,,,,,cut a coconut,,,,,,,,,,,,
9,220,cut,suwarma,,,,,,cut diagonally,,,,,,,,,,,,
9,220,cut,seletma,,,,,,cut off a small bit (a sliver),,,,,,,,,,,,
9,220,cut,kortaptap,,,,,,cut out,,,,,,,,,,,,
9,220,cut,tolma,,,,,,cut string,,,,,,,,,,,,
9,220,cut,letma,,,,,,cut branch,,,,,,,,,,,,
9,220,cut,pel,,,,,,cut or split a bunch of bananas,,,,,,,,,,,,
9,220,cut,dakdak,,,,,,chop,,,,,,,,,,,,
9,220,cut,polas,,,,,,slice; cut,,,,,,,,,,,,
9,220,cut,marum,,,,,,slice; cut,,,,,,,,,,,,
9,220,cut,parair,,,,,,split,,,,,,,,,,,,
9,221,cut down,worma,,,,,,,,,,,,,,,,,,
9,222,"chop, hew",tawara,,,,,,,,,,,,,,,,,,
9,222,"chop, hew",dakdak,,,,,,,,,,,,,,,,,,
9,223,stab,komain,,,,,,,,,,,,,,,,,,
9,230,knife,tektek,,,,,,,,,,,,,,,,,,
9,240,"scissors, shears",,,,,,,,,,,,,,,,,,,
9,250,ax,lem,,,,,,,,,,,,,,,,,,
9,250,ax,wewar,,,,,,,,,,,,,,,,,,
9,251,adze,,,,,,,,,,,,,,,,,,,
9,260,break,kawar,,,,,,break (glass),,,,,,,,,,,,
9,260,break,suosuo,,,,,,break,,,,,,,,,,,,
9,260,break,naputus,,,,,,Malay or other Austronesian loan,,,,,,,,,,,,
9,260,break,maorek,,,,,,break down; pull apart,,,,,,,,,,,,
9,260,break,taraouk,,,,,,be broken; be snapped,,,,,,,,,,,,
9,260,break,sanggotma,,,,,,break off a branch; pick fruits,,,,,,,,,,,,
9,260,break,kawarma,,,,,,break; fold,,,,,,,,,,,,
9,260,break,meraraouk,,,,,,cause to break or snap,,,,,,,,,,,,
9,260,break,suo,,,,,,break (of a wave),,,,,,,,,,,,
9,260,break,kararma,,,,,,hit and break,,,,,,,,,,,,
9,260,break,parair,,,,,,split,,,,,,,,,,,,
9,261,broken,taraouk,,,,,,,,,,,,,,,,,,
9,270,split,parair,,,,,,,,,,,,,,,,,,
9,270,split,pel,,,,,,,,,,,,,,,,,,
9,280,tear,masarut,,,,,,,,,,,,,,,,,,
9,290,"flay, skin",,,,,,,,,,,,,,,,,,,
9,310,"rub, wipe",yuon,,,,,,,,,,,,,,,,,,
9,310,"rub, wipe",naram,,,,,,,,,,,,,,,,,,
9,310,"rub, wipe",nakucak,,,,,,,,,,,,,,,,,,
9,320,stretch,madong,,,,,,,,,,,,,,,,,,
9,320,stretch,soso,,,,,,,,,,,,,,,,,,
9,330,pull,kasawirma,,,,,,,,,,,,,,,,,,
9,330,pull,naseduk,,,,,,,,,,,,,,,,,,
9,330,pull,sewa,,,,,,,,,,,,,,,,,,
9,330,pull,dorma,,,,,,pull out,,,,,,,,,,,,
9,330,pull,darua,,,,,,pull out; unplug,,,,,,,,,,,,
9,330,pull,tadorma,,,,,,pull out with force,,,,,,,,,,,,
9,330,pull,kolo,,,,,,pull out; unplug,,,,,,,,,,,,
9,330,pull,ramie,,,,,,pull; drag,,,,,,,,,,,,
9,340,spread out,sangganggam,,,,,,,,,,,,,,,,,,
9,340,spread out,kowarwak,,,,,,,,,,,,,,,,,,
9,341,hang up,manggang,,,,,,,,,,,,,,,,,,
9,342,press,naram,,,,,,,,,,,,,,,,,,
9,343,"squeeze, wring",naramas,,,,,,,,,,,,,,,,,,
9,343,"squeeze, wring",golma,,,,,,,,,,,,,,,,,,
9,350,pour,gareor,,,,,,,,,,,,,,,,,,
9,350,pour,nasirang,,,,,,Malay or other Austronesian loan,,,,,,,,,,,,
9,360,wash,waruo,,,,,,,,,,,,,,,,,,
9,370,sweep,gokabara,,,,,,,,,,,,,,,,,,
9,370,sweep,kabara,,,,,,,,,,,,,,,,,,
9,380,broom,sirarai,,,,,,,,,,,,,,,,,,
9,422,tool,alat,,,,,,Malay or other Austronesian loan,,,,,,,,,,,,
9,430,carpenter,,,,,,,,,,,,,,,,,,,
9,440,build,,,,,,,,,,,,,,,,,,,
9,460,bore,bor,,,,,,Malay or other Austronesian loan,,,,,,,,,,,,
9,461,hollow out,,,,,,,,,,,,,,,,,,,
9,480,saw,aragadi,,,,,,Malay or other Austronesian loan,,,,,,,,,,,,
9,490,hammer,resan,,,,,,Malay or other Austronesian loan,,,,,,,,,,,,
9,500,nail,paku,,,,,,Malay or other Austronesian loan,,,,,,,,,,,,
9,560,glue,lem,,,,,,Malay or other Austronesian loan,,,,,,,,,,,,
9,600,"smith, blacksmith",,,,,,,,,,,,,,,,,,,
9,610,forge,,,,,,,,,,,,,,,,,,,
9,620,anvil,,,,,,,,,,,,,,,,,,,
9,630,cast (metals),,,,,,,,,,,,,,,,,,,
9,640,gold,marau,,,,,,,,,,,,,,,,,,
9,650,silver,,,,,,,,,,,,,,,,,,,
9,660,"copper, bronze",,,,,,,,,,,,,,,,,,,
9,670,iron,kamung,,,,,,,,,,,,,,,,,,
9,670,iron,taba,,,,,,,,,,,,,,,,,,
9,680,lead (noun),,,,,,,,,,,,,,,,,,,
9,690,"tin, tinplate",,,,,,,,,,,,,,,,,,,
9,710,potter,,,,,,,,,,,,,,,,,,,
9,720,mold (clay etc),,,,,,,,,,,,,,,,,,,
9,730,clay,naun kerkap,,,,,,lit. red earth,,,,,,,,,,,,
9,740,glass,gelas,,,,,,Malay or other Austronesian loan,,,,,,,,,,,,
9,750,"weave, plait",kajie,,,,,,,,,,,,,,,,,,
9,750,"weave, plait",gaim,,,,,,,,,,,,,,,,,,
9,750,"weave, plait",nadadi,,,,,,,,,,,,,,,,,,
9,760,basket,kiem,,,,,,,,,,,,,,,,,,
9,760,basket,pan,,,,,,,,,,,,,,,,,,
9,760,basket,kurera,,,,,,,,,,,,,,,,,,
9,770,mat,irar,,,,,,finely woven,,,,,,,,,,,,
9,770,mat,kalifan,,,,,,coarsely woven,,,,,,,,,,,,
9,771,rug,,,,,,,,,,,,,,,,,,,
9,780,netbag,toman,,,,,,,,,,,,,,,,,,
9,790,fan (noun),,,,,,,,,,,,,,,,,,,
9,791,fan (vb),kawiawi,,,,,,,,,,,,,,,,,,
9,810,carve,kies,,,,,,,,,,,,,,,,,,
9,820,sculptor,,,,,,,,,,,,,,,,,,,
9,830,statue,,,,,,,,,,,,,,,,,,,
9,840,chisel,taot,,,,,,,,,,,,,,,,,,
9,880,paint (noun),,,,,,,,,,,,,,,,,,,
9,890,paint (vb),cat,,,,,,Malay or other Austronesian loan,,,,,,,,,,,,
10,110,move,iar,,,,,,,,,,,,,,,,,,
10,120,turn over,barotma,,,,,,,,,,,,,,,,,,
10,120,turn over,roye,,,,,,,,,,,,,,,,,,
10,120,turn over,malaouk,,,,,,,,,,,,,,,,,,
10,120,turn over,mayilma,,,,,,,,,,,,,,,,,,
10,130,turn around,barotma,,,,,,,,,,,,,,,,,,
10,130,turn around,naurar,,,,,,,,,,,,,,,,,,
10,130,turn around,roye,,,,,,,,,,,,,,,,,,
10,140,"wind, wrap",kies,,,,,,,,,,,,,,,,,,
10,140,"wind, wrap",kafan,,,,,,,,,,,,,,,,,,
10,140,"wind, wrap",karap,,,,,,,,,,,,,,,,,,
10,150,roll,nabulis,,,,,,,,,,,,,,,,,,
10,160,drop (vb),matur,,,,,,,,,,,,,,,,,,
10,160,drop (vb),paruak,,,,,,,,,,,,,,,,,,
10,160,drop (vb),lapas,,,,,,,,,,,,,,,,,,
10,160,drop (vb),naberuak,,,,,,,,,,,,,,,,,,
10,160,drop (vb),komamun,,,,,,,,,,,,,,,,,,
10,170,twist,golma,,,,,,,,,,,,,,,,,,
10,210,rise,,,,,,,,,,,,,,,,,,,
10,220,"raise, lift",masak,,,,,,,,,,,,,,,,,,
10,220,"raise, lift",ganggie,,,,,,,,,,,,,,,,,,
10,230,fall,tur,,,,,,,,,,,,,,,,,,
10,240,drip,,,,,,,,,,,,,,,,,,,
10,250,throw,komain,,,,,,,,,,,,,,,,,,
10,250,throw,muk,,,,,,,,,,,,,,,,,,
10,250,throw,walawala,,,,,,,,,,,,,,,,,,
10,250,throw,mudi,,,,,,,,,,,,,,,,,,
10,252,catch (ball),loku,,,,,,,,,,,,,,,,,,
10,260,shake,tun,,,,,,,,,,,,,,,,,,
10,260,shake,goyang,,,,,,Malay or other Austronesian loan,,,,,,,,,,,,
10,320,flow,,,,,,,,,,,,,,,,,,,
10,330,sink,dare,,,,,,,,,,,,,,,,,,
10,340,float,pouk,,,,,,,,,,,,,,,,,,
10,350,swim,yie,,,,,,,,,,,,,,,,,,
10,351,dive,ar,,,,,,,,,,,,,,,,,,
10,352,splash,,,,,,,,,,,,,,,,,,,
10,360,sail (vb),kinggir,,,,,,,,,,,,,,,,,,
10,370,fly (vb),pararuo,,,,,,,,,,,,,,,,,,
10,380,blow,kou,,,,,,,,,,,,,,,,,,
10,410,"creep, crawl",gareor,,,,,,,,,,,,,,,,,,
10,410,"creep, crawl",guadang,,,,,,,,,,,,,,,,,,
10,410,"creep, crawl",manggaren,,,,,,,,,,,,,,,,,,
10,412,kneel,eiruk,,,,,,,,,,,,,,,,,,
10,413,crouch,,,,,,,,,,,,,,,,,,,
10,420,"slide, slip",sou,,,,,,,,,,,,,,,,,,
10,430,"jump, leap",dalang,,,,,,,,,,,,,,,,,,
10,431,kick,sempang,,,,,,Malay or other Austronesian loan,,,,,,,,,,,,
10,440,dance,nasula,,,,,,Malay or other Austronesian loan,,,,,,,,,,,,
10,440,dance,tarian,,,,,,,,,,,,,,,,,,
10,450,walk,marmar,,,,,,,,,,,,,,,,,,
10,451,limp,,,,,,,,,,,,,,,,,,,
10,460,run,kiem,,,,,,,,,,,,,,,,,,
10,460,run,tiri,,,,,,,,,,,,,,,,,,
10,470,go,bo,,,,,,,,,,,,,,,,,,
10,471,go up,sara,,,,,,,,,,,,,,,,,,
10,471,go up,era,,,,,,,,,,,,,,,,,,
10,472,climb,sara,,,,,,,,,,,,,,,,,,
10,473,go down,bara,,,,,,,,,,,,,,,,,,
10,474,go out,taluk,,,,,,,,,,,,,,,,,,
10,480,come,mia,,,,,,,,,,,,,,,,,,
10,481,come back,yecie,,,,,,,,,,,,,,,,,,
10,490,"go away, depart",,,,,,,,,,,,,,,,,,,
10,491,disappear,gosomin,,,,,,,,,,,,,,,,,,
10,510,flee,kiem,,,,,,,,,,,,,,,,,,
10,520,follow,pareir,,,,,,,,,,,,,,,,,,
10,530,pursue,sarie,,,,,,,,,,,,,,,,,,
10,550,"reach, arrive",kobes,,,,,,,,,,,,,,,,,,
10,560,approach,,,,,,,,,,,,,,,,,,,
10,570,enter,masuk,,,,,,Malay or other Austronesian loan,,,,,,,,,,,,
10,610,carry (bear),poup,,,,,,living being on back,,,,,,,,,,,,
10,612,carry-in-hand,tanggo,,,,,,,,,,,,,,,,,,
10,613,carry-on-shoulder,lebaleba,,,,,,,,,,,,,,,,,,
10,613,carry-on-shoulder,bitko,,,,,,,,,,,,,,,,,,
10,614,carry-on-head,pabie,,,,,,with help of string around neck,,,,,,,,,,,,
10,615,carry-underarm,nawas,,,,,,,,,,,,,,,,,,
10,620,bring,kuru,,,,,,,,,,,,,,,,,,
10,620,bring,kuet,,,,,,,,,,,,,,,,,,
10,620,bring,bon,,,,,,,,,,,,,,,,,,
10,630,send,kiempanait,,,,,,,,,,,,,,,,,,
10,630,send,kama,,,,,,,,,,,,,,,,,,
10,640,lead (vb),narorar,,,,,,,,,,,,,,,,,,
10,650,drive,,,,,,,,,,,,,,,,,,,
10,660,ride,tiri,,,,,,"motor boat, bike",,,,,,,,,,,,
10,670,"push, shove",deir,,,,,,,,,,,,,,,,,,
10,670,"push, shove",kosiaur,,,,,,,,,,,,,,,,,,
10,710,road,urap,,,,,,,,,,,,,,,,,,
10,710,road,borun,,,,,,,,,,,,,,,,,,
10,720,path,urap,,,,,,,,,,,,,,,,,,
10,740,bridge,,,,,,,,,,,,,,,,,,,
10,750,"carriage, wagon, cart",,,,,,,,,,,,,,,,,,,
10,760,wheel,,,,,,,,,,,,,,,,,,,
10,770,axle,,,,,,,,,,,,,,,,,,,
10,780,yoke,,,,,,,,,,,,,,,,,,,
10,810,ship,kapal,,,,,,Malay or other Austronesian loan,,,,,,,,,,,,
10,830,boat,kapal,,,,,,Malay or other Austronesian loan,,,,,,,,,,,,
10,831,canoe,et,,,,,,,,,,,,,,,,,,
10,832,outrigger,sanngat,,,,,,,,,,,,,,,,,,
10,832,outrigger,saser,,,,,,,,,,,,,,,,,,
10,840,raft,,,,,,,,,,,,,,,,,,,
10,850,oar,yal,,,,,,,,,,,,,,,,,,
10,851,paddle (noun),yal,,,,,,,,,,,,,,,,,,
10,852,row (vb),yal,,,,,,,,,,,,,,,,,,
10,860,rudder,uli,,,,,,,,,,,,,,,,,,
10,870,mast,peler,,,,,,,,,,,,,,,,,,
10,880,sail (noun),kier,,,,,,,,,,,,,,,,,,
10,890,anchor,saor,,,,,,,,,,,,,,,,,,
10,910,"harbor, port",los,,,,,,,,,,,,,,,,,,
10,920,land (vb),mararak,,,,,,,,,,,,,,,,,,
11,110,have,,,,,,,,,,,,,,,,,,,
11,120,"own, possess",,,,,,,,,,,,,,,,,,,
11,130,take,,,,,,,,,,,,,,,,,,,
11,140,"seize, grasp",,,,,,,,,,,,,,,,,,,
